,lemma,next-lemma,next-next-lemma,next-next-pos,next-next-shape,next-next-word,next-pos,next-shape,next-word,pos,prev-iob,prev-lemma,prev-pos,prev-prev-iob,prev-prev-lemma,prev-prev-pos,prev-prev-shape,prev-prev-word,prev-shape,prev-word,sentence_idx,shape,word,tag
3785,creat,700,job,NNS,lowercase,jobs,CD,number,700,VB,O,will,MD,B-geo,mexico,NNP,capitalized,Mexico,lowercase,will,169,lowercase,create,O
3786,700,job,.,.,punct,.,NNS,lowercase,jobs,CD,O,creat,VB,O,will,MD,lowercase,will,lowercase,create,169,number,700,O
3787,job,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,700,CD,O,creat,VB,lowercase,create,number,700,169,lowercase,jobs,O
3788,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,job,NNS,O,700,CD,number,700,lowercase,jobs,169,punct,.,O
3789,mr.,calderon,said,VBD,lowercase,said,NNP,capitalized,Calderon,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,170,ending-dot,Mr.,B-per
3790,calderon,said,mexico,NNP,capitalized,Mexico,VBD,lowercase,said,NNP,B-per,mr.,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,ending-dot,Mr.,170,capitalized,Calderon,I-per
3791,said,mexico,has,VBZ,lowercase,has,NNP,capitalized,Mexico,VBD,I-per,calderon,NNP,B-per,mr.,NNP,ending-dot,Mr.,capitalized,Calderon,170,lowercase,said,O
3792,mexico,has,becom,VBN,lowercase,become,VBZ,lowercase,has,NNP,O,said,VBD,I-per,calderon,NNP,capitalized,Calderon,lowercase,said,170,capitalized,Mexico,B-gpe
3793,has,becom,a,DT,lowercase,a,VBN,lowercase,become,VBZ,B-gpe,mexico,NNP,O,said,VBD,lowercase,said,capitalized,Mexico,170,lowercase,has,O
3794,becom,a,worldwid,JJ,lowercase,worldwide,DT,lowercase,a,VBN,O,has,VBZ,B-gpe,mexico,NNP,capitalized,Mexico,lowercase,has,170,lowercase,become,O
3795,a,worldwid,leader,NN,lowercase,leader,JJ,lowercase,worldwide,DT,O,becom,VBN,O,has,VBZ,lowercase,has,lowercase,become,170,lowercase,a,O
3796,worldwid,leader,in,IN,lowercase,in,NN,lowercase,leader,JJ,O,a,DT,O,becom,VBN,lowercase,become,lowercase,a,170,lowercase,worldwide,O
3797,leader,in,the,DT,lowercase,the,IN,lowercase,in,NN,O,worldwid,JJ,O,a,DT,lowercase,a,lowercase,worldwide,170,lowercase,leader,O
3798,in,the,auto,NN,lowercase,auto,DT,lowercase,the,IN,O,leader,NN,O,worldwid,JJ,lowercase,worldwide,lowercase,leader,170,lowercase,in,O
3799,the,auto,industri,NN,lowercase,industry,NN,lowercase,auto,DT,O,in,IN,O,leader,NN,lowercase,leader,lowercase,in,170,lowercase,the,O
3800,auto,industri,.,.,punct,.,NN,lowercase,industry,NN,O,the,DT,O,in,IN,lowercase,in,lowercase,the,170,lowercase,auto,O
3801,industri,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,auto,NN,O,the,DT,lowercase,the,lowercase,auto,170,lowercase,industry,O
3802,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,industri,NN,O,auto,NN,lowercase,auto,lowercase,industry,170,punct,.,O
3803,chrysler,plan,to,TO,lowercase,to,VBZ,lowercase,plans,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,171,capitalized,Chrysler,B-org
3804,plan,to,build,VB,lowercase,build,TO,lowercase,to,VBZ,B-org,chrysler,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Chrysler,171,lowercase,plans,O
3805,to,build,it,PRP$,lowercase,its,VB,lowercase,build,TO,O,plan,VBZ,B-org,chrysler,NNP,capitalized,Chrysler,lowercase,plans,171,lowercase,to,O
3806,build,it,new,JJ,lowercase,new,PRP$,lowercase,its,VB,O,to,TO,O,plan,VBZ,lowercase,plans,lowercase,to,171,lowercase,build,O
3807,it,new,fuel-effici,JJ,contains-hyphen,fuel-efficient,JJ,lowercase,new,PRP$,O,build,VB,O,to,TO,lowercase,to,lowercase,build,171,lowercase,its,O
3808,new,fuel-effici,pentastar,NNP,capitalized,Pentastar,JJ,contains-hyphen,fuel-efficient,JJ,O,it,PRP$,O,build,VB,lowercase,build,lowercase,its,171,lowercase,new,O
3809,fuel-effici,pentastar,v-6,NNP,contains-hyphen,V-6,NNP,capitalized,Pentastar,JJ,O,new,JJ,O,it,PRP$,lowercase,its,lowercase,new,171,contains-hyphen,fuel-efficient,O
3810,pentastar,v-6,engin,NN,lowercase,engine,NNP,contains-hyphen,V-6,NNP,O,fuel-effici,JJ,O,new,JJ,lowercase,new,contains-hyphen,fuel-efficient,171,capitalized,Pentastar,B-art
3811,v-6,engin,for,IN,lowercase,for,NN,lowercase,engine,NNP,B-art,pentastar,NNP,O,fuel-effici,JJ,contains-hyphen,fuel-efficient,capitalized,Pentastar,171,contains-hyphen,V-6,I-art
3812,engin,for,chrysler,NNP,capitalized,Chrysler,IN,lowercase,for,NN,I-art,v-6,NNP,B-art,pentastar,NNP,capitalized,Pentastar,contains-hyphen,V-6,171,lowercase,engine,O
3813,for,chrysler,",",",",punct,",",NNP,capitalized,Chrysler,IN,O,engin,NN,I-art,v-6,NNP,contains-hyphen,V-6,lowercase,engine,171,lowercase,for,O
3814,chrysler,",",dodg,NNP,capitalized,Dodge,",",punct,",",NNP,O,for,IN,O,engin,NN,lowercase,engine,lowercase,for,171,capitalized,Chrysler,B-art
3815,",",dodg,",",",",punct,",",NNP,capitalized,Dodge,",",B-art,chrysler,NNP,O,for,IN,lowercase,for,capitalized,Chrysler,171,punct,",",O
3816,dodg,",",jeep,NNP,capitalized,Jeep,",",punct,",",NNP,O,",",",",B-art,chrysler,NNP,capitalized,Chrysler,punct,",",171,capitalized,Dodge,B-art
3817,",",jeep,and,CC,lowercase,and,NNP,capitalized,Jeep,",",B-art,dodg,NNP,O,",",",",punct,",",capitalized,Dodge,171,punct,",",O
3818,jeep,and,ram,NNP,capitalized,Ram,CC,lowercase,and,NNP,O,",",",",B-art,dodg,NNP,capitalized,Dodge,punct,",",171,capitalized,Jeep,B-art
3819,and,ram,vehicl,NNS,lowercase,vehicles,NNP,capitalized,Ram,CC,B-art,jeep,NNP,O,",",",",punct,",",capitalized,Jeep,171,lowercase,and,O
3820,ram,vehicl,.,.,punct,.,NNS,lowercase,vehicles,NNP,O,and,CC,B-art,jeep,NNP,capitalized,Jeep,lowercase,and,171,capitalized,Ram,B-art
3821,vehicl,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,B-art,ram,NNP,O,and,CC,lowercase,and,capitalized,Ram,171,lowercase,vehicles,O
3822,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,vehicl,NNS,B-art,ram,NNP,capitalized,Ram,lowercase,vehicles,171,punct,.,O
3823,mexican,offici,say,VBP,lowercase,say,NNS,lowercase,officials,JJ,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,172,capitalized,Mexican,B-gpe
3824,offici,say,the,DT,lowercase,the,VBP,lowercase,say,NNS,B-gpe,mexican,JJ,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Mexican,172,lowercase,officials,O
3825,say,the,new,JJ,lowercase,new,DT,lowercase,the,VBP,O,offici,NNS,B-gpe,mexican,JJ,capitalized,Mexican,lowercase,officials,172,lowercase,say,O
3826,the,new,plant,NN,lowercase,plant,JJ,lowercase,new,DT,O,say,VBP,O,offici,NNS,lowercase,officials,lowercase,say,172,lowercase,the,O
3827,new,plant,will,MD,lowercase,will,NN,lowercase,plant,JJ,O,the,DT,O,say,VBP,lowercase,say,lowercase,the,172,lowercase,new,O
3828,plant,will,have,VB,lowercase,have,MD,lowercase,will,NN,O,new,JJ,O,the,DT,lowercase,the,lowercase,new,172,lowercase,plant,O
3829,will,have,the,DT,lowercase,the,VB,lowercase,have,MD,O,plant,NN,O,new,JJ,lowercase,new,lowercase,plant,172,lowercase,will,O
3830,have,the,capac,NN,lowercase,capacity,DT,lowercase,the,VB,O,will,MD,O,plant,NN,lowercase,plant,lowercase,will,172,lowercase,have,O
3831,the,capac,to,TO,lowercase,to,NN,lowercase,capacity,DT,O,have,VB,O,will,MD,lowercase,will,lowercase,have,172,lowercase,the,O
3832,capac,to,build,VB,lowercase,build,TO,lowercase,to,NN,O,the,DT,O,have,VB,lowercase,have,lowercase,the,172,lowercase,capacity,O
3833,to,build,"4,40,000",CD,number,"4,40,000",VB,lowercase,build,TO,O,capac,NN,O,the,DT,lowercase,the,lowercase,capacity,172,lowercase,to,O
3834,build,"4,40,000",engin,NNS,lowercase,engines,CD,number,"4,40,000",VB,O,to,TO,O,capac,NN,lowercase,capacity,lowercase,to,172,lowercase,build,O
3835,"4,40,000",engin,per,IN,lowercase,per,NNS,lowercase,engines,CD,O,build,VB,O,to,TO,lowercase,to,lowercase,build,172,number,"4,40,000",O
3836,engin,per,year,NN,lowercase,year,IN,lowercase,per,NNS,O,"4,40,000",CD,O,build,VB,lowercase,build,number,"4,40,000",172,lowercase,engines,O
3837,per,year,.,.,punct,.,NN,lowercase,year,IN,O,engin,NNS,O,"4,40,000",CD,number,"4,40,000",lowercase,engines,172,lowercase,per,O
3838,year,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,per,IN,O,engin,NNS,lowercase,engines,lowercase,per,172,lowercase,year,O
3839,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,year,NN,O,per,IN,lowercase,per,lowercase,year,172,punct,.,O
3840,a,u.s.,juri,NN,lowercase,jury,NNP,abbreviation,U.S.,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,173,uppercase,A,O
3841,u.s.,juri,has,VBZ,lowercase,has,NN,lowercase,jury,NNP,O,a,DT,__START1__,__start1__,__START1__,wildcard,__START1__,uppercase,A,173,abbreviation,U.S.,B-geo
3842,juri,has,found,VBN,lowercase,found,VBZ,lowercase,has,NN,B-geo,u.s.,NNP,O,a,DT,uppercase,A,abbreviation,U.S.,173,lowercase,jury,O
3843,has,found,that,IN,lowercase,that,VBN,lowercase,found,VBZ,O,juri,NN,B-geo,u.s.,NNP,abbreviation,U.S.,lowercase,jury,173,lowercase,has,O
3844,found,that,drug,NN,lowercase,drug,IN,lowercase,that,VBN,O,has,VBZ,O,juri,NN,lowercase,jury,lowercase,has,173,lowercase,found,O
3845,that,drug,maker,NN,lowercase,maker,NN,lowercase,drug,IN,O,found,VBN,O,has,VBZ,lowercase,has,lowercase,found,173,lowercase,that,O
3846,drug,maker,merck,NNP,capitalized,Merck,NN,lowercase,maker,NN,O,that,IN,O,found,VBN,lowercase,found,lowercase,that,173,lowercase,drug,O
3847,maker,merck,is,VBZ,lowercase,is,NNP,capitalized,Merck,NN,O,drug,NN,O,that,IN,lowercase,that,lowercase,drug,173,lowercase,maker,O
3848,merck,is,not,RB,lowercase,not,VBZ,lowercase,is,NNP,O,maker,NN,O,drug,NN,lowercase,drug,lowercase,maker,173,capitalized,Merck,B-org
3849,is,not,liabl,JJ,lowercase,liable,RB,lowercase,not,VBZ,B-org,merck,NNP,O,maker,NN,lowercase,maker,capitalized,Merck,173,lowercase,is,O
3850,not,liabl,for,IN,lowercase,for,JJ,lowercase,liable,RB,O,is,VBZ,B-org,merck,NNP,capitalized,Merck,lowercase,is,173,lowercase,not,O
3851,liabl,for,the,DT,lowercase,the,IN,lowercase,for,JJ,O,not,RB,O,is,VBZ,lowercase,is,lowercase,not,173,lowercase,liable,O
3852,for,the,heart,NN,lowercase,heart,DT,lowercase,the,IN,O,liabl,JJ,O,not,RB,lowercase,not,lowercase,liable,173,lowercase,for,O
3853,the,heart,attack,NN,lowercase,attack,NN,lowercase,heart,DT,O,for,IN,O,liabl,JJ,lowercase,liable,lowercase,for,173,lowercase,the,O
3854,heart,attack,suffer,VBN,lowercase,suffered,NN,lowercase,attack,NN,O,the,DT,O,for,IN,lowercase,for,lowercase,the,173,lowercase,heart,O
3855,attack,suffer,by,IN,lowercase,by,VBN,lowercase,suffered,NN,O,heart,NN,O,the,DT,lowercase,the,lowercase,heart,173,lowercase,attack,O
3856,suffer,by,a,DT,lowercase,a,IN,lowercase,by,VBN,O,attack,NN,O,heart,NN,lowercase,heart,lowercase,attack,173,lowercase,suffered,O
3857,by,a,man,NN,lowercase,man,DT,lowercase,a,IN,O,suffer,VBN,O,attack,NN,lowercase,attack,lowercase,suffered,173,lowercase,by,O
3858,a,man,take,VBG,lowercase,taking,NN,lowercase,man,DT,O,by,IN,O,suffer,VBN,lowercase,suffered,lowercase,by,173,lowercase,a,O
3859,man,take,it,PRP$,lowercase,its,VBG,lowercase,taking,NN,O,a,DT,O,by,IN,lowercase,by,lowercase,a,173,lowercase,man,O
3860,take,it,painkil,NN,lowercase,painkiller,PRP$,lowercase,its,VBG,O,man,NN,O,a,DT,lowercase,a,lowercase,man,173,lowercase,taking,O
3861,it,painkil,vioxx,NNP,capitalized,Vioxx,NN,lowercase,painkiller,PRP$,O,take,VBG,O,man,NN,lowercase,man,lowercase,taking,173,lowercase,its,O
3862,painkil,vioxx,.,.,punct,.,NNP,capitalized,Vioxx,NN,O,it,PRP$,O,take,VBG,lowercase,taking,lowercase,its,173,lowercase,painkiller,O
3863,vioxx,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,painkil,NN,O,it,PRP$,lowercase,its,lowercase,painkiller,173,capitalized,Vioxx,B-art
3864,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-art,vioxx,NNP,O,painkil,NN,lowercase,painkiller,capitalized,Vioxx,173,punct,.,O
3865,the,new,jersey,NNP,capitalized,Jersey,NNP,capitalized,New,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,174,capitalized,The,O
3866,new,jersey,jurist,NNS,lowercase,jurists,NNP,capitalized,Jersey,NNP,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,174,capitalized,New,B-geo
3867,jersey,jurist,agre,VBD,lowercase,agreed,NNS,lowercase,jurists,NNP,B-geo,new,NNP,O,the,DT,capitalized,The,capitalized,New,174,capitalized,Jersey,I-geo
3868,jurist,agre,with,IN,lowercase,with,VBD,lowercase,agreed,NNS,I-geo,jersey,NNP,B-geo,new,NNP,capitalized,New,capitalized,Jersey,174,lowercase,jurists,O
3869,agre,with,merck,NNP,capitalized,Merck,IN,lowercase,with,VBD,O,jurist,NNS,I-geo,jersey,NNP,capitalized,Jersey,lowercase,jurists,174,lowercase,agreed,O
3870,with,merck,that,IN,lowercase,that,NNP,capitalized,Merck,IN,O,agre,VBD,O,jurist,NNS,lowercase,jurists,lowercase,agreed,174,lowercase,with,O
3871,merck,that,job,NN,lowercase,job,IN,lowercase,that,NNP,O,with,IN,O,agre,VBD,lowercase,agreed,lowercase,with,174,capitalized,Merck,B-org
3872,that,job,stress,NN,lowercase,stress,NN,lowercase,job,IN,B-org,merck,NNP,O,with,IN,lowercase,with,capitalized,Merck,174,lowercase,that,O
3873,job,stress,and,CC,lowercase,and,NN,lowercase,stress,NN,O,that,IN,B-org,merck,NNP,capitalized,Merck,lowercase,that,174,lowercase,job,O
3874,stress,and,health,NN,lowercase,health,CC,lowercase,and,NN,O,job,NN,O,that,IN,lowercase,that,lowercase,job,174,lowercase,stress,O
3875,and,health,risk,NNS,lowercase,risks,NN,lowercase,health,CC,O,stress,NN,O,job,NN,lowercase,job,lowercase,stress,174,lowercase,and,O
3876,health,risk,caus,VBD,lowercase,caused,NNS,lowercase,risks,NN,O,and,CC,O,stress,NN,lowercase,stress,lowercase,and,174,lowercase,health,O
3877,risk,caus,the,DT,lowercase,the,VBD,lowercase,caused,NNS,O,health,NN,O,and,CC,lowercase,and,lowercase,health,174,lowercase,risks,O
3878,caus,the,60-year,JJ,number,60-year,DT,lowercase,the,VBD,O,risk,NNS,O,health,NN,lowercase,health,lowercase,risks,174,lowercase,caused,O
3879,the,60-year,old,JJ,lowercase,old,JJ,number,60-year,DT,O,caus,VBD,O,risk,NNS,lowercase,risks,lowercase,caused,174,lowercase,the,O
3880,60-year,old,postal,JJ,lowercase,postal,JJ,lowercase,old,JJ,O,the,DT,O,caus,VBD,lowercase,caused,lowercase,the,174,number,60-year,O
3881,old,postal,worker,NN,lowercase,worker,JJ,lowercase,postal,JJ,O,60-year,JJ,O,the,DT,lowercase,the,number,60-year,174,lowercase,old,O
3882,postal,worker,to,TO,lowercase,to,NN,lowercase,worker,JJ,O,old,JJ,O,60-year,JJ,number,60-year,lowercase,old,174,lowercase,postal,O
3883,worker,to,have,VB,lowercase,have,TO,lowercase,to,NN,O,postal,JJ,O,old,JJ,lowercase,old,lowercase,postal,174,lowercase,worker,O
3884,to,have,a,DT,lowercase,a,VB,lowercase,have,TO,O,worker,NN,O,postal,JJ,lowercase,postal,lowercase,worker,174,lowercase,to,O
3885,have,a,heart,NN,lowercase,heart,DT,lowercase,a,VB,O,to,TO,O,worker,NN,lowercase,worker,lowercase,to,174,lowercase,have,O
3886,a,heart,attack,NN,lowercase,attack,NN,lowercase,heart,DT,O,have,VB,O,to,TO,lowercase,to,lowercase,have,174,lowercase,a,O
3887,heart,attack,four,CD,lowercase,four,NN,lowercase,attack,NN,O,a,DT,O,have,VB,lowercase,have,lowercase,a,174,lowercase,heart,O
3888,attack,four,year,NNS,lowercase,years,CD,lowercase,four,NN,O,heart,NN,O,a,DT,lowercase,a,lowercase,heart,174,lowercase,attack,O
3889,four,year,ago,RB,lowercase,ago,NNS,lowercase,years,CD,O,attack,NN,O,heart,NN,lowercase,heart,lowercase,attack,174,lowercase,four,O
3890,year,ago,.,.,punct,.,RB,lowercase,ago,NNS,O,four,CD,O,attack,NN,lowercase,attack,lowercase,four,174,lowercase,years,O
3891,ago,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,RB,O,year,NNS,O,four,CD,lowercase,four,lowercase,years,174,lowercase,ago,O
3892,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,ago,RB,O,year,NNS,lowercase,years,lowercase,ago,174,punct,.,O
3893,the,plaintiff,argu,VBD,lowercase,argued,NN,lowercase,plaintiff,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,175,capitalized,The,O
3894,plaintiff,argu,vioxx,NNP,capitalized,Vioxx,VBD,lowercase,argued,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,175,lowercase,plaintiff,O
3895,argu,vioxx,was,VBD,lowercase,was,NNP,capitalized,Vioxx,VBD,O,plaintiff,NN,O,the,DT,capitalized,The,lowercase,plaintiff,175,lowercase,argued,O
3896,vioxx,was,respons,JJ,lowercase,responsible,VBD,lowercase,was,NNP,O,argu,VBD,O,plaintiff,NN,lowercase,plaintiff,lowercase,argued,175,capitalized,Vioxx,B-org
3897,was,respons,.,.,punct,.,JJ,lowercase,responsible,VBD,B-org,vioxx,NNP,O,argu,VBD,lowercase,argued,capitalized,Vioxx,175,lowercase,was,O
3898,respons,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,JJ,O,was,VBD,B-org,vioxx,NNP,capitalized,Vioxx,lowercase,was,175,lowercase,responsible,O
3899,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,respons,JJ,O,was,VBD,lowercase,was,lowercase,responsible,175,punct,.,O
3900,the,juri,also,RB,lowercase,also,NN,lowercase,jury,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,176,capitalized,The,O
3901,juri,also,reject,VBD,lowercase,rejected,RB,lowercase,also,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,176,lowercase,jury,O
3902,also,reject,the,DT,lowercase,the,VBD,lowercase,rejected,RB,O,juri,NN,O,the,DT,capitalized,The,lowercase,jury,176,lowercase,also,O
3903,reject,the,man,NN,lowercase,man,DT,lowercase,the,VBD,O,also,RB,O,juri,NN,lowercase,jury,lowercase,also,176,lowercase,rejected,O
3904,the,man,'s,POS,other,'s,NN,lowercase,man,DT,O,reject,VBD,O,also,RB,lowercase,also,lowercase,rejected,176,lowercase,the,O
3905,man,'s,claim,NN,lowercase,claim,POS,other,'s,NN,O,the,DT,O,reject,VBD,lowercase,rejected,lowercase,the,176,lowercase,man,O
3906,'s,claim,that,IN,lowercase,that,NN,lowercase,claim,POS,O,man,NN,O,the,DT,lowercase,the,lowercase,man,176,other,'s,O
3907,claim,that,merck,NNP,capitalized,Merck,IN,lowercase,that,NN,O,'s,POS,O,man,NN,lowercase,man,other,'s,176,lowercase,claim,O
3908,that,merck,fail,VBD,lowercase,failed,NNP,capitalized,Merck,IN,O,claim,NN,O,'s,POS,other,'s,lowercase,claim,176,lowercase,that,O
3909,merck,fail,to,TO,lowercase,to,VBD,lowercase,failed,NNP,O,that,IN,O,claim,NN,lowercase,claim,lowercase,that,176,capitalized,Merck,B-org
3910,fail,to,proper,RB,lowercase,properly,TO,lowercase,to,VBD,B-org,merck,NNP,O,that,IN,lowercase,that,capitalized,Merck,176,lowercase,failed,O
3911,to,proper,warn,VB,lowercase,warn,RB,lowercase,properly,TO,O,fail,VBD,B-org,merck,NNP,capitalized,Merck,lowercase,failed,176,lowercase,to,O
3912,proper,warn,user,NNS,lowercase,users,VB,lowercase,warn,RB,O,to,TO,O,fail,VBD,lowercase,failed,lowercase,to,176,lowercase,properly,O
3913,warn,user,about,IN,lowercase,about,NNS,lowercase,users,VB,O,proper,RB,O,to,TO,lowercase,to,lowercase,properly,176,lowercase,warn,O
3914,user,about,the,DT,lowercase,the,IN,lowercase,about,NNS,O,warn,VB,O,proper,RB,lowercase,properly,lowercase,warn,176,lowercase,users,O
3915,about,the,drug,NN,lowercase,drug,DT,lowercase,the,IN,O,user,NNS,O,warn,VB,lowercase,warn,lowercase,users,176,lowercase,about,O
3916,the,drug,'s,POS,other,'s,NN,lowercase,drug,DT,O,about,IN,O,user,NNS,lowercase,users,lowercase,about,176,lowercase,the,O
3917,drug,'s,risk,NNS,lowercase,risks,POS,other,'s,NN,O,the,DT,O,about,IN,lowercase,about,lowercase,the,176,lowercase,drug,O
3918,'s,risk,.,.,punct,.,NNS,lowercase,risks,POS,O,drug,NN,O,the,DT,lowercase,the,lowercase,drug,176,other,'s,O
3919,risk,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,'s,POS,O,drug,NN,lowercase,drug,other,'s,176,lowercase,risks,O
3920,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,risk,NNS,O,'s,POS,other,'s,lowercase,risks,176,punct,.,O
3921,merck,withdrew,the,DT,lowercase,the,VBD,lowercase,withdrew,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,177,capitalized,Merck,B-org
3922,withdrew,the,popular,JJ,lowercase,popular,DT,lowercase,the,VBD,B-org,merck,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Merck,177,lowercase,withdrew,O
3923,the,popular,drug,NN,lowercase,drug,JJ,lowercase,popular,DT,O,withdrew,VBD,B-org,merck,NNP,capitalized,Merck,lowercase,withdrew,177,lowercase,the,O
3924,popular,drug,last,JJ,lowercase,last,NN,lowercase,drug,JJ,O,the,DT,O,withdrew,VBD,lowercase,withdrew,lowercase,the,177,lowercase,popular,O
3925,drug,last,year,NN,lowercase,year,JJ,lowercase,last,NN,O,popular,JJ,O,the,DT,lowercase,the,lowercase,popular,177,lowercase,drug,O
3926,last,year,after,IN,lowercase,after,NN,lowercase,year,JJ,O,drug,NN,O,popular,JJ,lowercase,popular,lowercase,drug,177,lowercase,last,O
3927,year,after,a,DT,lowercase,a,IN,lowercase,after,NN,O,last,JJ,O,drug,NN,lowercase,drug,lowercase,last,177,lowercase,year,O
3928,after,a,studi,NN,lowercase,study,DT,lowercase,a,IN,O,year,NN,O,last,JJ,lowercase,last,lowercase,year,177,lowercase,after,O
3929,a,studi,show,VBD,lowercase,showed,NN,lowercase,study,DT,O,after,IN,O,year,NN,lowercase,year,lowercase,after,177,lowercase,a,O
3930,studi,show,it,PRP,lowercase,it,VBD,lowercase,showed,NN,O,a,DT,O,after,IN,lowercase,after,lowercase,a,177,lowercase,study,O
3931,show,it,doubl,VBD,lowercase,doubled,PRP,lowercase,it,VBD,O,studi,NN,O,a,DT,lowercase,a,lowercase,study,177,lowercase,showed,O
3932,it,doubl,the,DT,lowercase,the,VBD,lowercase,doubled,PRP,O,show,VBD,O,studi,NN,lowercase,study,lowercase,showed,177,lowercase,it,O
3933,doubl,the,risk,NN,lowercase,risk,DT,lowercase,the,VBD,O,it,PRP,O,show,VBD,lowercase,showed,lowercase,it,177,lowercase,doubled,O
3934,the,risk,of,IN,lowercase,of,NN,lowercase,risk,DT,O,doubl,VBD,O,it,PRP,lowercase,it,lowercase,doubled,177,lowercase,the,O
3935,risk,of,heart,NN,lowercase,heart,IN,lowercase,of,NN,O,the,DT,O,doubl,VBD,lowercase,doubled,lowercase,the,177,lowercase,risk,O
3936,of,heart,problem,NNS,lowercase,problems,NN,lowercase,heart,IN,O,risk,NN,O,the,DT,lowercase,the,lowercase,risk,177,lowercase,of,O
3937,heart,problem,in,IN,lowercase,in,NNS,lowercase,problems,NN,O,of,IN,O,risk,NN,lowercase,risk,lowercase,of,177,lowercase,heart,O
3938,problem,in,long-term,JJ,contains-hyphen,long-term,IN,lowercase,in,NNS,O,heart,NN,O,of,IN,lowercase,of,lowercase,heart,177,lowercase,problems,O
3939,in,long-term,user,NNS,lowercase,users,JJ,contains-hyphen,long-term,IN,O,problem,NNS,O,heart,NN,lowercase,heart,lowercase,problems,177,lowercase,in,O
3940,long-term,user,.,.,punct,.,NNS,lowercase,users,JJ,O,in,IN,O,problem,NNS,lowercase,problems,lowercase,in,177,contains-hyphen,long-term,O
3941,user,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,long-term,JJ,O,in,IN,lowercase,in,contains-hyphen,long-term,177,lowercase,users,O
3942,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,user,NNS,O,long-term,JJ,contains-hyphen,long-term,lowercase,users,177,punct,.,O
3943,merck,is,face,VBG,lowercase,facing,VBZ,lowercase,is,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,178,capitalized,Merck,B-org
3944,is,face,thousand,NNS,lowercase,thousands,VBG,lowercase,facing,VBZ,B-org,merck,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Merck,178,lowercase,is,O
3945,face,thousand,of,IN,lowercase,of,NNS,lowercase,thousands,VBG,O,is,VBZ,B-org,merck,NNP,capitalized,Merck,lowercase,is,178,lowercase,facing,O
3946,thousand,of,other,JJ,lowercase,other,IN,lowercase,of,NNS,O,face,VBG,O,is,VBZ,lowercase,is,lowercase,facing,178,lowercase,thousands,O
3947,of,other,lawsuit,NNS,lowercase,lawsuits,JJ,lowercase,other,IN,O,thousand,NNS,O,face,VBG,lowercase,facing,lowercase,thousands,178,lowercase,of,O
3948,other,lawsuit,over,IN,lowercase,over,NNS,lowercase,lawsuits,JJ,O,of,IN,O,thousand,NNS,lowercase,thousands,lowercase,of,178,lowercase,other,O
